16,100,7,99,60,50,4
mo,mo,..,..,..,..,..,..,..,..,..,..,..,.o,.o,.o
mo,mo,mo,..,..,..,..,.o,..,..,..,..,..,.o,.o,.o
mo,.o,.r,..,..,..,..,.o,.o,.o,.o,..,..,..,.o,.o
.o,.o,..,..,.r,.r,..,..,.o,.o,..,..,..,.r,.o,.o
mo,.o,..,..,..,..,..,..,..,..,..,..,.r,.r,.o,.o
mo,mo,..,..,..,..,..,.o,..,..,..,..,..,.o,.o,.o
mo,mr,..,..,..,..,..,..,..,..,..,..,..,.o,.o,.o
mo,mo,..,..,..,..,..,..,..,..,..,..,..,..,.o,.o
mo,mo,mo,..,..,.r,..,..,.o,..,..,..,..,..,.o,.o
mo,mr,m.,..,mr,mr,..,mo,.o,..,..,.r,.o,..,..,.o
mr,m.,m.,..,mr,m.,m.,mo,..,..,..,.o,..,..,.r,.o
mr,m.,m.,m.,m.,m.,m.,m.,..,.o,..,..,..,..,.o,.o
mo,mo,m.,m.,m.,m.,mo,mo,..,.o,.o,..,..,.o,.o,mo
mo,mo,m.,m.,m.,.o,.o,.o,.o,.o,..,..,..,.o,mo,mo
mo,mo,mo,..,..,..,.r,.o,.o,.r,..,..,m.,.o,mo,mo
mo,mo,..,..,..,..,.r,.o,.r,.o,..,m.,m.,m.,mo,.o
mo,.o,..,..,..,..,.o,.o,.o,.o,m.,m.,m.,mo,.o,mo
mo,.o,..,..,..,.o,.r,.r,.r,.r,.o,m.,m.,.o,.o,.o
.o,.o,.o,..,..,..,..,.r,.r,..,..,m.,m.,.r,.o,mo
.o,.o,..,..,..,..,..,..,.r,..,..,..,..,..,.o,mo
.o,.o,.o,..,..,.o,.o,..,..,..,..,..,..,..,.o,.o
.o,.o,.o,.o,..,..,.o,..,..,..,.o,..,..,.o,.o,mo
.o,.o,..,..,..,..,..,..,..,..,..,..,..,..,.o,.o
.r,.o,..,..,.r,..,..,..,..,..,.r,..,..,.o,.o,.o
.o,.o,.o,.o,.r,.r,..,..,..,.r,.o,.o,.o,.o,.o,.o
.o,./,.-,.-,.-,.r,..,.o,..,.r,.-,.-,.-,.\,.o,.o
.o,.|,.o,.o,.r,..,..,..,..,..,.r,.r,.o,.6,.-,.-
.-,.9,.r,.r,..,..,..,..,..,..,..,.r,.r,.o,.o,.o
.o,.o,.o,..,..,..,..,..,..,..,..,..,..,.o,.o,.o
.o,.o,..,..,.r,.r,.r,..,..,..,..,..,..,.o,.o,.o
.o,.o,.o,..,.o,.|,.r,..,..,..,..,..,..,..,.o,.o
.r,.r,.o,..,.o,.|,..,..,..,..,..,..,..,..,..,.o
.o,.r,.o,.o,./,.9,..,..,..,..,..,..,..,.o,.o,.o
.o,.o,.o,.o,.|,.r,..,..,..,.r,..,..,..,.o,.r,.r
.o,.o,.o,.r,.r,..,..,..,..,.r,.r,..,..,.o,.o,.o
.o,.o,.o,./,.9,.r,..,.o,..,.|,.r,..,..,.o,.o,.o
.o,.o,.o,.|,.o,..,..,..,..,.|,.o,..,.o,.o,.o,.o
.o,.o,.o,.|,.o,..,..,..,..,.|,.r,.o,.r,.o,.o,.o
.o,.o,.o,.|,..,..,..,..,.o,.6,.-,.r,.r,.-,.\,.o
.o,.o,.o,.|,..,..,..,..,..,.o,.r,.o,.r,.r,.|,.o
.o,./,.-,.9,.o,..,..,..,..,..,.o,.o,.o,.o,.|,.o
.r,.|,.o,.r,.o,..,..,..,..,..,..,..,..,.o,.|,.r
.o,.|,.o,..,..,..,..,..,.r,.r,..,..,.o,.o,.6,.-
.o,.|,.o,..,..,.o,..,..,..,.r,..,..,..,.o,.o,.o
.-,.9,.o,..,..,..,..,..,..,..,..,..,..,..,.o,.o
.o,.o,.o,..,..,..,..,.o,..,..,..,..,..,.o,.o,.o
.o,.o,.o,..,..,..,..,.o,.o,.o,..,..,..,.o,.o,.o
.o,.r,.r,..,..,..,..,..,..,..,..,..,..,.o,.o,.o
.o,.r,.o,..,..,.o,..,..,..,..,..,..,..,.r,.r,.o
.o,.o,.o,..,..,.r,.r,..,..,..,.r,..,..,.o,.o,.r
mo,.o,.o,..,..,..,..,..,..,.r,.r,..,..,.o,mo,mo
mo,mo,.o,..,..,..,..,..,..,..,..,..,..,..,.o,mo
mo,mo,..,..,.o,..,..,.o,.o,..,.o,.o,..,..,.o,mo
mo,.o,..,.o,.o,..,.o,.o,..,..,.o,..,..,mo,mo,mo
mo,mo,mo,mo,mo,..,..,..,..,..,..,..,m.,mo,mo,mo
mo,mo,mo,m.,m.,..,..,.o,..,m.,mo,m.,m.,mo,mo,mo
mo,mo,mo,m.,m.,mo,..,..,..,m.,m.,m.,mo,mo,mo,mo
mo,mo,mr,mo,..,..,m.,m.,m.,..,..,..,mo,mo,mo,mo
mo,mo,mr,mr,..,m.,m.,m.,mr,mo,..,..,mr,m.,mr,mo
mo,mo,mo,m.,..,mr,..,..,mr,m.,m.,..,m.,m.,m.,mo
mo,mo,mo,..,..,..,.o,..,..,mr,..,..,mr,mo,mo,mo
mo,mo,mr,..,..,..,..,..,..,..,..,..,m.,mo,mo,mo
mo,mo,mo,..,..,..,..,..,..,..,..,..,..,mr,mo,mo
mo,mo,m.,m.,mr,mr,..,..,mo,m.,mo,..,mr,mo,mo,mo
mo,mo,mo,m.,m.,..,..,..,..,m.,mo,..,mo,mo,mo,mo
mo,mo,.r,..,..,..,..,..,.o,..,..,..,..,.r,mo,mo
mo,.o,.o,..,..,..,..,.o,..,..,..,..,..,.r,.o,mo
mo,mo,.r,..,..,..,..,..,..,..,..,..,..,.o,mo,mo
mo,.o,..,..,..,.o,.o,..,..,.r,.r,..,..,.o,.o,mr
.o,.o,.o,..,..,..,..,..,..,..,.r,..,..,..,.r,./
.o,.o,.r,..,..,..,..,..,..,..,..,..,..,..,.o,.|
.o,.o,.o,..,..,..,..,..,..,..,..,..,..,.o,.o,.|
.-,.\,.r,..,..,..,..,..,..,..,..,..,..,.r,./,.9
.o,.6,.-,.-,.\,..,..,..,..,..,..,./,.-,.-,.9,.o
.o,.o,.o,.r,.|,.r,.o,.o,.o,.o,.r,.|,.r,.o,.r,.o
